city,year,own_area_km2,ghsl_urban_centre_area_km2,area_ratio,perimeter_area_ratio,reliable
Buenos Aires,2005,205.58318910677463,1818.646517,0.11304186227783299,6.021391910432448,true
Buenos Aires,2010,205.58318910677463,1897.46975125,0.10834596386653446,6.021391910432448,true
Buenos Aires,2015,205.58318910677463,1999.28169325,0.10282852576546225,6.021391910432448,true
Buenos Aires,2020,205.58318910677463,2005.82978675,0.10249283885641979,6.021391910432448,true
Noumea,2000,49.99612025716911,18.41884,2.714401138028731,15.43679797642208,true
Noumea,2005,49.99612025716911,18.41884,2.714401138028731,15.43679797642208,true
Noumea,2010,49.99612025716911,18.41884,2.714401138028731,15.43679797642208,true
Noumea,2015,49.99612025716911,33.1574235,1.5078409291110666,15.43679797642208,true
Noumea,2020,49.99612025716911,36.8418385,1.3570473758297679,15.43679797642208,true
Los Angeles,2000,1265.919150905036,3230.9788775,0.39180669354438885,14.129896183483098,true
Los Angeles,2005,1265.919150905036,3250.7739845,0.38942084467916227,14.129896183483098,true
Los Angeles,2010,1265.919150905036,3445.71581425,0.3673893086799957,14.129896183483098,true
Los Angeles,2015,1265.919150905036,3611.04406325,0.3505687354492395,14.129896183483098,true
Los Angeles,2020,1265.919150905036,3773.14772825,0.3355074442028736,14.129896183483098,true
Chicago,2000,607.2615626891354,1863.35443075,0.3258969698237778,9.674112716471178,true
Chicago,2005,607.2615626891354,1872.29751025,0.3243403141672983,9.674112716471178,true
Chicago,2010,607.2615626891354,1872.31732175,0.32433688223401463,9.674112716471178,true
Chicago,2015,607.2615626891354,1884.1915815,0.3222928966733288,9.674112716471178,true
Chicago,2020,607.2615626891354,1881.18633375,0.32280776858430943,9.674112716471178,true
Madrid,2000,604.7554162123907,416.927766,1.450504057368035,7.104854942892661,true
Madrid,2005,604.7554162123907,453.46253025,1.3336392223608442,7.104854942892661,true
Madrid,2010,604.7554162123907,474.75132325,1.2738361887491396,7.104854942892661,true
Madrid,2015,604.7554162123907,480.830069,1.2577321078736254,7.104854942892661,true
Madrid,2020,604.7554162123907,520.4781,1.1619228863085511,7.104854942892661,true
Rome,2000,1285.5350271621244,380.919204,3.3748233579794116,9.255090389060758,true
Rome,2005,1285.5350271621244,380.919204,3.3748233579794116,9.255090389060758,true
Rome,2010,1285.5350271621244,380.919204,3.3748233579794116,9.255090389060758,true
Rome,2015,1285.5350271621244,386.863773,3.322965645486078,9.255090389060758,true
Rome,2020,1285.5350271621244,422.53201175,3.04245593567651,9.255090389060758,true
Casablanca,2000,216.17003362616418,285.791083,0.7563918067596398,6.863266458948113,true
Casablanca,2005,216.17003362616418,309.053153,0.6994590785688058,6.863266458948113,true
Casablanca,2010,216.17003362616418,335.6515665,0.6440310583986629,6.863266458948113,true
Casablanca,2015,216.17003362616418,345.6307235,0.6254363947658843,6.863266458948113,true
Casablanca,2020,216.17003362616418,358.93129325,0.6022602032517659,6.863266458948113,true
Budapest,2000,525.9434607055473,308.34146225,1.7057176056300787,5.885245695710833,true
Budapest,2005,525.9434607055473,308.34146225,1.7057176056300787,5.885245695710833,true
Budapest,2010,525.9434607055473,302.93393275,1.7361655590415113,5.885245695710833,true
Budapest,2015,525.9434607055473,300.22605775,1.7518248237583145,5.885245695710833,true
Budapest,2020,525.9434607055473,305.63358725,1.7208300482870025,5.885245695710833,true
Seattle,2000,303.2546226967467,358.6607445,0.845519414508288,5.300196059732763,true
Seattle,2005,303.2546226967467,388.278059,0.7810243604229687,5.300196059732763,true
Seattle,2010,303.2546226967467,423.326664,0.7163607882180243,5.300196059732763,true
Seattle,2015,303.2546226967467,757.3376545,0.40042195300187167,5.300196059732763,true
